电影名称,电影排名,电影评分,短评,评论人数
肖申克的救赎,1,9.6,希望让人自由。,1021068
霸王别姬,2,9.5,风华绝代。,742748
这个杀手不太冷,3,9.4,怪蜀黍和小萝莉不得不说的故事。,957233
阿甘正传,4,9.4,一部美国近现代史。,814318
美丽人生,5,9.5,最美的谎言。,475638
千与千寻,6,9.3,最好的宫崎骏，最好的久石让。 ,762473
泰坦尼克号,7,9.3,失去的才是永恒的。 ,754141
辛德勒的名单,8,9.4,拯救一个人，就是拯救整个世界。,433019
盗梦空间,9,9.3,诺兰给了我们一场无法盗取的梦。,853415
机器人总动员,10,9.3,小瓦力，大人生。,559609
海上钢琴师,11,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,657559
三傻大闹宝莱坞,12,9.2,英俊版憨豆，高情商版谢耳朵。,767283
忠犬八公的故事,13,9.2,永远都不能忘记你所爱的人。,529231
放牛班的春天,14,9.2,天籁一般的童声，是最接近上帝的存在。 ,512932
大话西游之大圣娶亲,15,9.2,一生所爱。,560871
楚门的世界,16,9.1,如果再也不能见到你，祝你早安，午安，晚安。,532775
龙猫,17,9.1,人人心中都有个龙猫，童年就永远不会消失。,473439
教父,18,9.2,千万不要记恨你的对手，这样会让你失去理智。,385042
熔炉,19,9.2,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,309051
星际穿越,20,9.2,爱是一种力量，让我们超越时空感知它的存在。,560684
乱世佳人,21,9.2,Tomorrow is another day.,299228
触不可及,22,9.1,满满温情的高雅喜剧。,415967
无间道,23,9.0,香港电影史上永不过时的杰作。,457902
当幸福来敲门,24,8.9,平民励志片。 ,606613
天堂电影院,25,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,337896
怦然心动,26,8.9,真正的幸福是来自内心深处。,633805
十二怒汉,27,9.4,1957年的理想主义。 ,190930
搏击俱乐部,28,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,434353
少年派的奇幻漂流,29,9.0,瑰丽壮观、无人能及的冒险之旅。,640674
鬼子来了,30,9.2,对敌人的仁慈，就是对自己残忍。,259981
蝙蝠侠：黑暗骑士,31,9.1,无尽的黑暗。,367785
指环王3：王者无敌,32,9.1,史诗的终章。,314825
活着,33,9.1,张艺谋最好的电影。,306252
天空之城,34,9.0,对天空的追逐，永不停止。 ,369828
疯狂动物城,35,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,585528
罗马假日,36,8.9,爱情哪怕只有一天。,426024
大话西游之月光宝盒,37,8.9,旷古烁今。,451523
飞屋环游记,38,8.9,最后那些最无聊的事情，才是最值得怀念的。 ,554462
窃听风暴,39,9.1,别样人生。,249513
两杆大烟枪,40,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,296716
控方证人,41,9.6,比利·怀德满分作品。,111691
飞越疯人院,42,9.0,自由万岁。,301248
闻香识女人,43,8.9,史上最美的探戈。,358643
哈尔的移动城堡,44,8.9,带着心爱的人在天空飞翔。,393450
海豚湾,45,9.3,海豚的微笑，是世界上最高明的伪装。,196034
V字仇杀队,46,8.8,一张面具背后的理想与革命。,464516
辩护人,47,9.1,电影的现实意义大过电影本身。,237355
死亡诗社,48,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,308950
教父2,49,9.1,优雅的孤独。,207564
美丽心灵,50,8.9,爱是一切逻辑和原由。,333835
指环王2：双塔奇兵,51,9.0,承前启后的史诗篇章。,296140
指环王1：魔戒再现,52,8.9,传说的开始。,331470
情书,53,8.8,暗恋的极致。,411439
饮食男女,54,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,223358
摔跤吧！爸爸,55,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,517518
美国往事,56,9.1,往事如烟，无处祭奠。,191604
狮子王,57,8.9,动物版《哈姆雷特》。,309227
钢琴家,58,9.0,音乐能化解仇恨。,220354
天使爱美丽,59,8.7,法式小清新。 ,520191
素媛,60,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,205650
七宗罪,61,8.7,警察抓小偷，老鼠玩死猫。,468935
